2026-05-13 05:19:03,229 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 05:19:03,235 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 05:25:05,338 - INFO - Epoch [077/150] | LR: 0.000250 | Loss: 0.0495 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0326) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:10,132 - INFO - Epoch [078/150] | LR: 0.000250 | Loss: 0.0493 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:14,455 - INFO - Epoch [079/150] | LR: 0.000250 | Loss: 0.0493 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:18,771 - INFO - Epoch [080/150] | LR: 0.000250 | Loss: 0.0493 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0324) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:23,544 - INFO - Epoch [081/150] | LR: 0.000250 | Loss: 0.0497 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0327) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:28,891 - INFO - Epoch [082/150] | LR: 0.000250 | Loss: 0.0495 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0326) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:34,096 - INFO - Epoch [083/150] | LR: 0.000250 | Loss: 0.0494 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:38,932 - INFO - Epoch [084/150] | LR: 0.000250 | Loss: 0.0496 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0327) | Val Loss: 0.0013 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:43,433 - INFO - Epoch [085/150] | LR: 0.000250 | Loss: 0.0492 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0324) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:48,119 - INFO - Epoch [086/150] | LR: 0.000250 | Loss: 0.0493 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:52,482 - INFO - Epoch [087/150] | LR: 0.000250 | Loss: 0.0493 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:25:56,752 - INFO - Epoch [088/150] | LR: 0.000250 | Loss: 0.0493 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:26:01,722 - INFO - Epoch [089/150] | LR: 0.000250 | Loss: 0.0490 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0323) | Val Loss: 0.0010 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:26:06,987 - INFO - Epoch [090/150] | LR: 0.000125 | Loss: 0.0490 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0323) | Val Loss: 0.0014 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
